medcodeid,term,condition
460153018,Black Caribbean and White (ethnic group),Q code group Ethnicity - White & Black Caribbean
1.96809E+15,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - White & Black Caribbean
1.96826E+15,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - White & Black Caribbean
1.41321E+14,White and Black Caribbean - ethnic category 2001 census (finding),Q code group Ethnicity - White & Black Caribbean
