medcodeid,term,condition
3.43503E+15,Navaho (ethnic group),Q code group Ethnicity - Other ethnic group
3.05286E+15,New Caledonians (ethnic group),Q code group Ethnicity - Other ethnic group
3.53649E+15,New Hebrideans (ethnic group),Q code group Ethnicity - Other ethnic group
286012013,New Zealand Mï¿½?ori (ethnic group),Q code group Ethnicity - Other ethnic group
286006015,New Zealand ethnic groups (ethnic group),Q code group Ethnicity - Other ethnic group
286021014,New Zealand ethnic groups (ethnic group),Q code group Ethnicity - Other ethnic group
286022019,New Zealand ethnic groups (ethnic group),Q code group Ethnicity - Other ethnic group
3.91969E+15,Nez PercÃ© (ethnic group),Q code group Ethnicity - Other ethnic group
3.9197E+15,Nez PercÃ© (ethnic group),Q code group Ethnicity - Other ethnic group
286014014,Niuean (ethnic group),Q code group Ethnicity - Other ethnic group
1.42811E+14,North African - ethnic category 2001 census (finding),Q code group Ethnicity - Other ethnic group
411581014,North African Arab (NMO) (ethnic group),Q code group Ethnicity - Other ethnic group
2.79468E+15,Oceanian (ethnic group),Q code group Ethnicity - Other ethnic group
3.34004E+15,Oriental Jews (ethnic group),Q code group Ethnicity - Other ethnic group
1.41411E+14,Other - ethnic category 2001 census (finding),Q code group Ethnicity - Other ethnic group
286009010,Other European in New Zealand (ethnic group),Q code group Ethnicity - Other ethnic group
1.96821E+15,Other ethnic group: Arab - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - Other ethnic group
1.96838E+15,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - Other ethnic group
1.96858E+15,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census (finding)",Q code group Ethnicity - Other ethnic group
1.96822E+15,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - Other ethnic group
1.96839E+15,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - Other ethnic group
