medcodeid,term,condition
1.96815E+15,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - Bangladeshi
1.96832E+15,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - Bangladeshi
1.9685E+15,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census (finding)",Q code group Ethnicity - Bangladeshi
1.56429E+15,Bangladeshi (ethnic group),Q code group Ethnicity - Bangladeshi
1.96631E+14,Bangladeshi (ethnic group),Q code group Ethnicity - Bangladeshi
285956019,Bangladeshi (ethnic group),Q code group Ethnicity - Bangladeshi
9.37541E+14,Bangladeshi or British Bangladeshi - ethnic category 2001 census (finding),Q code group Ethnicity - Bangladeshi
