medcodeid,term,condition
1.96816E+15,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - Chinese
1.96833E+15,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - Chinese
1.96851E+15,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census (finding),Q code group Ethnicity - Chinese
1.56452E+15,Chinese (ethnic group),Q code group Ethnicity - Chinese
1.96651E+14,Chinese (ethnic group),Q code group Ethnicity - Chinese
5.50541E+14,Chinese (ethnic group),Q code group Ethnicity - Chinese
56590016,Chinese (ethnic group),Q code group Ethnicity - Chinese
1.41401E+14,Chinese - ethnic category 2001 census (finding),Q code group Ethnicity - Chinese
